code,name,glottocode
kbd,Kabardian (Turkish),kaba1278
ita,Italian,ital1282
gsw,Zurich German,zuri1239
nor,Norwegian (Standard Østnorsk),stno1234
gle,Irish (Gaoth Dobhair),done1238
dan,Danish,dani1285
fao,Faroese,faro1244
swe,Swedish (Central),swed1254
fry,Frisian (West),mode1264
gla,Scottish Gaelic (Lewis),scot1245
cym,Welsh (Llanwrtyd),wels1247
bre,Breton (Bothoa),bret1244
sco,Scots (Northern),nort2617
deu,German (Standard),stan1295
gle,Irish (Corca Dhuibhne),muns1250
nld,Dutch,dutc1256
eng,English (RP),sout3285
fra,French,stan1290
eng,English (Liverpool),nort3299
fur,Friulian,friu1240
ltz,Luxembourgish,luxe1241
-,Lemi Chin,lemy1239
bee,Byangsi,byan1241
lhm,Lhomi Tibetan,lhom1239
cmn,Kunming Chinese (Southwest Mandarin),kunm1234
-,Shaoxing Chinese,wuch1236
khw,Khowar,khow1242
phl,Palula,phal1254
ush,Ushojo,usho1238
sgy,Sanglechi,sang1344
sgh,Shughni,shug1248
-,Rushani,rush1239
-,Khufi,khuf1238
srh,Sarikoli,sari1246
yah,Yazghulami,yazg1240
psh,Southwest Pashai,sout2671
gwt,Gawarbati,gawa1247
nli,Grangali,gran1245
tra,Tirahi,tira1253
gwc,Kalam (Swat-Dir) Kohistani,kala1374
trw,Torwali,torw1241
wsv,Wotapuri-Katarqalai,wota1240
mvy,Indus Kohistani (Kanyawali),indu1241
scl,Shina (Gilgit),gilg1243
ady,Adyghe,adyg1241
mjg,Mongghul (Huzhu Monguor),huzh1238
yuy,Eastern Yugur,east2337
sce,Dongxiang,dong1285
mjg,Mangghuer (Minhe Monguor),minh1238
peh,Baoan (Ñantoq),bona1250
jya,Caodeng rGyalrong,jiar1240
loy,gLo Tibetan,lowa1242
0,Khalong Tibetan,
nru,Yongning Na (Mosuo),yong1288
tsj,Tshangla,tsha1245
0,Labrang Tibetan,rong1261
0,Zhongu Tibetan,zhon1235
0,gSerpa,
0,Soghpo Tibetan,
spt,Spiti Tibetan,spit1240
0,Kami Tibetan,
heb,Hebrew,hebr1245
0,Modern Aramaic (Northeastern),
kxs,Kangjia,kang1281
kgy,Kyirong Tibetan,kyir1236
hut,Humla Bhotia,huml1238
0,Dongwang Tibetan,
bod,Lhasa Tibetan,utsa1239
sip,Denjongka,sikk1242
dzo,Dzongkha,dzon1239
cde,Nyinpa Cone,chen1255
raw,Rawang (Mutwang),mutw1238
0,Rgyalthang Tibetan,
bqh,Baima,baim1244
0,Northern Cuona,
0,Southern Cuona,
0,Kham Tibetan,kham1286
0,Japhug,japh1234
hak,Hakka Chinese,hakk1236
ava,Avar (Chadakolob),avar1256
hnj,Hmong Njua (Green Hmong),hmon1264
ani,Andi,andi1255
mhe,Mah Meri,besi1244
sxg,Shixing,shix1238
ahk,Akha,akha1245
chx,Chantyal,chan1310
0,Dolakha Newar,east2773
lhu,Lahu (Black),naaa1244
lis,Lisu (Flowery),hual1240
npa,Nar-Phu (Nar),narr1258
taj,Tamang (Eastern),east2347
swi,Sui,suii1243
cdo,Min Dong Chinese (Fuzhou),mind1253
iii,Nuosu (Black Yi),sich1238
yue,Yue Chinese (Hong Kong Cantonese),xian1255
cmn,Standard Chinese (Beijing),beij1234
ars,Najdi Arabic,najd1235
khm,Central Khmer,cent1989
pbv,Pnar,pnar1238
jah,Jah-Hut,jahh1242
tea,Temiar,temi1246
acn,Achang (Lianghe),acha1249
yix,Ahi,axiy1235
vie,Vietnamese (Hanoi),viet1252
mya,Burmese (Rangoon),mand1476
sou,Soutern Tai (Nakhon Si Thammarat),
sou,Soutern Tai (Surat),
sou,Soutern Tai (Ko Samui),
tts,Northeastern Thai (Ubon),
tts,Northeastern Thai (Roi Et),
tts,Northeastern Thai (Nakhon Phanom),
nyw,Nyaw (Uthen),
nyw,Nyaw (Sakhon Nakhon),
pht,Phu Tai (Phanna Nikhom),
pht,Phu Tai (Waritchaphum),
tts,Northeastern Thai (Nong Khai),
tts,Northeastern Thai (Loei),
nod,Northern Thai (Chieng Mai),
lao,Lao (Vientiane),
lao,Lao (Chieng Khouang),
lao,Lao (Luang Prabang),
tyr,Tay Daeng,
tyj,Tay Yo,
tdd,Tai Nuea,
shn,Shan (Hsi Paw),
shn,Shan (Kunlong),
shn,Shan (Zhe Fang),
shn,Shan (Luxi),
khb,Lue (Chieng Hung),
skb,Saek,saek1240
pcj,Gorum,
gaq,Gtaʔ,
gbj,Gutob (Koraput),
sat,Santali,sant1410
unr,Mundari,mund1320
hoc,Ho (Mayurbhanj),
kfq,Korku,kork1243
srb,Sora (Gumma Hills),
jun,Juang,juan1238
bfw,Remo (Hills variety),
mal,Malayalam,mala1464
asm,Assamese (Standard),stan1302
ory,Oriya,
mai,Maithili (Madhubani),
mag,Magahi,maga1260
bho,Bhojpuri,bhoj1244
npi,Nepali,nepa1254
pan,Panjabi (Eastern),panj1256
tam,Tamil,tami1289
kan,Kannada (Standard),nucl1305
tcy,Tulu,tulu1258
knd,Konda,
mut,Muria Gondi,
kfb,Kolami (Wardha),
gdb,Gadaba,
mjt,Malto,malt1248
cng,Northern Qiang (Yadu),
pmj,Southern Pumi (Xinyingpan),
bft,Balti (Kharkoo),balt1258
khg,Brag-g.yab Tibetan,
-,Dingri Tibetan,
-,Drokpa Tibetan (Zhongba),
xsr,Solu Sherpa (Hile),
lbj,Ladakhi (Leh),lada1244
prx,Purki,
xsr,Solu Sherpa (Lukla),
ddo,Tsez (Asax),asak1234
cng,Northern Qiang (Hongyan),
-,Nangchenpa Tibetan,
-,Shigatse Tibetan,shig1238
-,South Mustang Tibetan (Jharkhot),
-,Themchen Tibetan,them1242
-,Tod Tibetan,
ola,Walungge,walu1241
scp,Yolmo,
nmm,Manange,mana1288
gvr,Gurung (Western),west2414
ths,Thakali,thak1245
-,Tamang (Dhankuta),
ers,Ersu,ersu1241
-,Lizu,lizu1234
-,Puxi,puxi1242
-,Kurtoep,
byh,Bhujel,bhuj1238
dhi,Dhimal,dhim1246
drd,Darma,darm1243
vay,Hayu,
-,Sangdam Tibetan,
-,Myeik Burmese,
rus,Russian (Standard),russ1263
spa,Spanish (Murcian),murc1238
eve,Even (Ola),
prs,Dari,dari1249
klr,Khaling,khal1275
gin,Hinuq,hinu1240
mrh,Mara (Lakher),
-,dGudzong Tibetan,
ben,Bengali (Bangladeshi Standard),beng1280
-,Melung Tibetan,
tel,Telugu (Vizianagaram),
kkt,Koyi Rai,
jee,Jero,
pmx,Poula,
dao,Daai Chin,daai1236
cdo,Eastern Min Chinese (Fuzhou),
-,Nantong Chinese,
hye,Eastern Armenian (Standard),nucl1235
bqi,Bakhtiari,bakh1245
luz,Southern Luri,sout2647
zum,Kumzari,kumz1235
ktl,Koroshi,koro1296
glk,Gilaki,gila1241
cld,Alqosh Neo-Aramaic,
-,Amədya Neo-Aramaic,
-,Arbel Neo-Aramaic,
-,Betanure Neo-Aramaic,
-,Barwar Neo-Aramaic,
bsh,Kati,
xka,Kalkoti,kalk1245
psi,Darra-i-Nur Pashai (Southeast Pashai),
sts,Shumashti,shum1235
dml,Dameli,dame1241
kls,Kalasha (Northern),nort2663
slr,Salar,sala1264
rmy,Vlax Romani (Mitrovica),
bul,Bulgarian (Standard),bulg1262
ces,Czech (Bohemian),cent1953
-,Mehweb,
